,Race,Alcohol,Junky,Supervised Release,Married,Felony,WorkRelease,Crime against Property,Crime against Person,Gender,Priors,YearsSchool,PrisonViolations,Age,MonthsServed,Target
4885,0,0,0,1,1,1,1,1,0,1,0,0,0,0,3,0
2290,0,0,0,0,1,0,0,1,0,1,0,1,1,2,1,1
1727,0,0,0,1,0,0,0,0,0,1,0,2,2,3,2,0
610,1,0,0,1,1,1,0,0,0,1,2,1,0,0,1,0
570,0,0,0,1,1,1,1,0,0,1,2,1,1,0,3,1
2812,0,0,0,1,1,0,0,0,0,1,2,0,1,2,3,0
3193,0,0,0,1,0,1,1,0,1,1,1,2,0,3,3,0
343,0,0,0,1,1,0,0,1,0,1,3,2,2,2,2,1
3164,0,0,0,1,1,0,1,0,0,1,2,1,2,2,2,1
3312,0,0,0,0,1,1,0,1,0,0,2,1,1,2,0,1
434,0,0,0,1,1,0,0,1,0,1,0,2,0,2,1,1
1903,1,0,0,0,1,0,1,0,0,1,0,2,2,0,0,1
4010,1,0,1,1,1,0,0,0,0,1,2,2,2,2,1,1
4535,0,0,0,0,1,0,0,0,0,1,3,1,0,0,3,1
2069,0,0,0,1,0,0,1,0,0,1,0,1,2,3,0,0
1537,0,0,0,0,0,0,0,0,0,1,3,1,2,3,2,0
2369,0,0,0,1,1,1,1,0,1,1,2,1,2,3,3,1
4821,1,0,0,1,1,0,1,0,0,1,2,1,2,2,1,0
1517,1,1,0,0,0,0,1,0,1,1,2,2,2,2,2,0
965,0,1,0,1,1,1,0,1,0,1,2,3,2,1,2,0
4513,1,0,0,0,0,1,0,0,0,1,0,2,2,3,1,1
528,1,0,0,1,1,1,0,0,0,1,2,1,1,2,3,1
176,0,1,1,0,1,0,1,0,1,1,1,2,2,1,0,1
3669,1,1,0,1,0,1,0,1,0,1,0,1,2,2,1,1
4977,0,0,0,1,0,1,0,1,0,1,3,2,0,1,3,1
4404,1,0,1,1,1,1,0,0,0,1,2,1,0,2,1,1
572,1,0,0,0,1,0,0,0,0,1,1,3,2,3,0,0
3902,1,0,1,1,1,1,0,0,1,1,0,2,0,3,3,1
4957,1,1,0,1,1,0,0,0,0,1,0,1,2,1,2,1
4259,1,0,0,1,1,0,0,0,0,1,2,1,0,0,0,0
4594,1,1,0,1,1,1,0,1,0,1,0,3,0,3,1,0
3386,1,0,0,0,1,0,1,1,0,1,0,2,2,0,1,1
2718,1,0,0,1,0,0,0,0,0,1,0,2,0,1,3,1
2208,0,0,0,1,0,1,1,1,0,1,3,1,0,1,3,0
2698,1,0,0,1,0,0,0,1,0,1,3,2,2,3,2,0
2902,0,0,0,1,0,1,1,1,0,1,3,2,2,0,3,0
383,0,0,0,1,1,1,0,1,0,1,2,3,2,0,3,0
852,0,0,0,0,0,0,0,1,0,1,3,2,2,1,2,1
1880,0,0,0,1,1,1,0,0,1,0,2,2,2,3,2,0
370,0,1,0,1,1,1,1,0,1,1,0,0,2,3,3,1
2915,1,0,0,1,1,1,1,1,0,1,2,1,2,2,3,1
3238,0,1,0,0,1,0,0,1,0,1,3,0,0,0,2,1
4430,0,0,0,0,1,0,0,1,0,1,0,0,0,1,3,0
1105,0,0,0,1,1,1,0,1,0,0,0,0,0,0,3,1
2706,1,1,0,1,0,0,1,0,0,1,0,3,0,3,1,1
2361,1,1,0,1,1,0,1,0,0,1,1,2,0,1,1,1
4124,1,0,0,1,1,1,0,0,0,1,2,2,2,2,0,0
1336,1,0,0,1,1,0,0,1,0,1,2,3,0,0,1,0
2189,1,0,0,0,1,1,1,1,0,1,1,0,0,3,1,1
4704,0,0,0,1,1,0,0,1,0,1,3,1,0,2,2,0
2440,0,0,1,1,1,0,0,1,0,1,3,3,2,1,2,0
3505,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,0
4708,1,0,0,0,1,0,1,0,0,1,1,2,2,3,0,0
4966,0,0,0,0,1,0,0,0,0,1,2,3,2,0,2,0
1171,1,0,1,1,1,1,0,0,0,1,0,3,2,0,0,0
3008,0,0,0,1,1,0,0,1,0,1,2,1,0,2,2,1
2835,0,0,0,0,1,1,1,1,0,1,0,1,0,2,1,1
1422,1,0,0,0,1,1,0,1,0,0,2,2,2,3,0,0
2462,0,0,0,1,1,1,1,0,0,1,0,2,2,1,1,1
5004,0,0,0,1,1,0,0,0,0,1,2,1,0,2,1,1
4258,0,0,0,1,1,0,0,0,0,1,0,0,2,1,2,0
1464,0,0,0,1,1,1,1,0,1,1,0,2,1,3,3,1
874,0,0,0,1,1,1,1,1,0,1,0,2,0,0,3,1
2297,1,0,0,0,1,0,1,0,0,1,0,3,2,2,0,0
2445,1,0,0,1,1,0,1,1,0,0,0,3,2,0,3,1
4447,0,0,1,1,0,0,1,1,0,1,0,3,0,1,1,1
1251,0,0,0,1,1,0,1,0,0,1,2,2,2,1,1,1
2470,1,0,0,0,1,0,0,0,0,1,0,1,0,2,1,0
840,1,1,0,1,1,0,0,0,0,1,1,2,2,3,2,1
4610,1,0,0,0,0,0,0,1,0,1,0,2,1,0,1,0
581,0,1,0,1,1,0,1,1,0,1,0,2,2,0,1,1
204,1,0,0,1,1,1,1,0,0,1,0,2,0,1,3,0
1641,0,0,0,1,0,1,1,1,0,1,0,0,0,1,1,0
2014,0,1,0,1,1,1,0,1,0,1,2,1,0,2,1,1
905,1,0,0,1,1,1,1,0,1,0,2,3,2,3,0,0
631,0,1,0,1,1,0,1,0,0,1,2,2,2,3,3,0
3262,0,0,0,1,1,1,0,1,0,1,2,0,2,2,2,0
1974,1,0,0,0,1,0,0,0,0,1,2,2,2,0,0,0
162,0,0,0,1,1,0,0,1,0,0,2,3,2,0,0,1
3346,0,0,0,0,1,0,0,1,0,1,2,3,0,0,0,1
3016,0,0,0,1,1,0,1,0,0,1,2,2,2,1,1,1
4605,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0
617,1,0,0,0,0,1,0,0,0,1,0,2,2,3,3,0
875,0,0,0,1,1,0,0,0,0,1,3,0,2,0,2,1
1431,0,0,1,1,1,1,1,1,0,1,0,2,0,3,3,1
547,1,1,0,1,0,0,1,0,1,1,1,3,2,3,1,1
3513,0,0,0,1,1,0,0,1,0,0,0,3,2,0,0,1
4656,1,0,0,1,1,0,0,1,0,1,2,2,2,3,2,1
4327,0,0,0,1,1,1,1,1,0,1,0,1,0,2,3,1
2509,1,0,0,0,1,0,0,0,0,1,0,1,2,0,0,0
4537,0,0,0,1,1,0,1,0,0,1,1,3,0,1,3,0
3091,1,0,0,1,1,1,0,0,0,1,2,3,0,0,1,0
4182,1,0,1,1,1,0,0,1,0,1,0,2,2,1,0,1
1861,1,1,0,1,0,0,1,0,1,1,0,1,0,3,3,1
640,0,1,0,1,1,1,1,1,0,1,2,3,2,0,1,0
3149,0,0,1,0,1,0,0,1,0,1,2,2,0,2,0,1
637,0,0,0,0,1,0,1,0,0,1,0,1,2,3,1,1
3705,1,1,1,1,1,0,0,1,0,1,2,3,0,2,0,1
4423,0,0,0,1,0,1,1,1,0,0,0,3,0,1,1,0
2308,0,1,0,1,0,0,0,0,0,1,0,2,2,3,2,0
3148,0,0,0,1,1,0,0,0,0,1,0,3,2,1,0,1
2096,1,0,0,0,1,0,0,1,0,1,1,2,0,1,2,1
3864,1,0,0,1,0,0,0,0,0,1,0,2,0,1,3,1
4999,1,0,0,1,1,0,1,0,0,1,0,1,0,0,3,1
3971,0,1,0,1,1,0,0,0,0,1,2,3,0,1,0,0
2992,1,1,0,1,1,0,0,1,0,1,2,3,2,3,0,1
921,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1
546,0,1,0,1,0,1,0,0,1,1,2,3,2,3,0,0
3866,1,1,1,1,1,0,0,0,0,1,2,2,0,2,3,1
1900,0,0,0,0,1,1,1,0,0,1,0,0,0,0,3,0
2028,1,0,0,1,1,1,1,0,0,1,2,1,2,2,0,0
2301,1,1,1,1,1,0,1,1,0,1,2,1,2,2,2,1
1885,1,0,0,1,1,0,1,1,0,1,2,2,2,2,2,1
1642,1,0,0,0,1,0,1,0,0,1,3,3,2,1,2,1
3697,1,1,0,1,0,0,0,0,0,1,0,3,2,1,0,1
4926,0,0,0,1,1,0,1,0,0,1,2,0,2,1,0,0
2097,1,0,0,1,1,1,1,0,1,1,2,3,2,1,1,0
4464,0,0,0,0,1,0,0,1,0,1,1,2,0,1,1,0
3754,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0
4604,0,0,0,1,1,0,0,1,0,1,0,3,2,3,0,1
5086,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1
836,0,0,1,1,0,1,0,1,0,1,0,0,0,1,3,1
601,1,1,0,1,1,1,1,1,0,1,3,1,0,3,3,1
2184,0,1,0,0,1,0,0,1,0,1,1,0,2,3,1,0
4076,1,0,0,1,1,0,0,1,0,1,3,1,2,1,2,1
2610,0,0,0,0,1,0,0,1,0,0,2,2,0,3,0,1
4414,0,1,1,1,1,0,0,0,0,1,3,3,2,1,2,1
1582,1,0,0,1,0,0,1,0,0,0,0,1,0,1,3,0
4373,1,0,0,1,1,1,0,1,0,1,2,0,2,2,0,0
4318,0,0,0,1,0,0,1,0,0,1,3,2,2,1,2,1
4731,1,0,0,1,1,0,1,1,0,1,2,1,0,2,0,0
1070,1,0,0,1,0,1,1,1,0,1,2,1,0,3,1,0
1775,0,0,0,1,0,0,1,1,0,1,0,1,2,0,0,0
4925,0,1,0,1,1,1,0,1,0,1,2,0,0,2,1,1
1283,1,1,1,1,1,0,0,0,0,1,2,3,2,0,0,1
3279,0,0,0,1,1,1,0,1,0,1,0,3,0,1,1,0
5102,0,0,0,0,1,0,1,0,0,1,2,0,0,0,3,1
4870,1,0,0,1,0,0,1,0,0,1,1,1,2,3,1,1
1836,0,0,0,1,1,1,1,0,1,0,2,3,0,3,3,1
4347,0,0,0,1,1,1,1,0,0,1,2,0,2,0,2,0
1019,0,0,0,1,0,0,1,0,0,1,2,1,2,1,2,0
3541,1,0,0,1,1,1,1,0,0,1,2,3,0,3,3,1
1326,0,0,0,1,0,1,0,1,0,1,2,3,0,1,0,0
475,1,0,0,1,1,0,0,0,0,1,0,0,2,0,2,1
3633,1,0,0,0,0,0,1,0,0,1,2,1,0,0,3,0
1651,0,0,0,1,1,0,0,0,0,1,2,1,0,2,1,1
4759,1,0,0,1,1,0,1,1,0,1,0,3,2,1,2,1
4392,0,0,0,1,1,0,0,0,0,1,1,2,2,3,0,1
2748,1,0,0,1,0,0,1,0,1,1,0,2,2,1,0,0
2605,0,1,0,1,0,0,0,1,0,1,3,1,2,1,2,1
2803,1,0,0,1,0,0,1,0,0,1,2,1,2,1,3,0
1373,1,1,1,1,1,1,1,1,0,1,2,2,1,2,3,1
739,1,0,0,1,0,0,0,0,0,1,2,1,2,1,2,0
3814,1,1,1,1,0,0,0,1,0,1,1,1,2,3,1,1
4836,0,0,0,1,1,1,1,1,0,1,0,1,1,1,3,1
867,1,0,0,1,1,0,1,0,0,1,2,0,0,1,0,0
1140,0,0,1,1,1,1,0,1,0,0,2,1,0,2,3,1
997,1,0,0,1,1,0,1,0,1,1,2,1,2,2,2,1
1337,0,0,0,1,1,0,0,0,1,1,0,2,2,3,1,1
541,1,0,0,1,1,1,1,1,0,1,0,2,2,2,0,1
1099,1,1,0,0,1,1,1,1,0,1,0,1,0,3,3,0
1132,1,1,1,0,1,1,0,1,0,1,3,2,1,3,3,0
4970,0,0,0,1,0,0,0,0,0,1,2,3,2,1,0,0
2857,0,0,0,1,1,1,0,1,0,1,0,2,0,2,1,1
2258,1,1,0,1,1,0,1,0,0,1,2,3,2,0,0,1
4144,1,0,0,1,1,1,0,1,0,1,0,1,0,1,3,1
59,0,0,0,1,1,0,0,0,0,1,2,2,0,2,3,1
3038,0,0,0,1,1,1,0,0,1,1,0,2,2,3,3,1
1938,0,0,0,1,1,0,1,0,0,1,0,2,2,1,1,0
4283,0,0,0,1,1,1,1,0,0,0,2,3,0,1,3,1
5055,0,0,0,1,1,0,0,1,0,1,2,3,2,2,0,0
1078,1,0,0,1,1,0,0,0,0,1,2,2,2,3,0,0
3075,1,0,0,1,1,1,0,0,0,1,3,2,0,1,3,1
3299,1,0,0,0,1,1,0,0,0,1,0,1,2,1,0,0
2617,0,0,0,1,1,0,1,0,0,1,0,1,2,3,1,1
940,0,0,0,1,1,0,0,1,0,1,0,0,2,1,2,0
1080,1,0,1,1,1,1,0,1,0,1,2,2,0,2,1,1
187,0,1,0,1,1,0,0,0,1,1,0,1,2,3,0,0
3017,1,0,0,1,1,1,1,0,1,1,2,2,1,0,3,1
2085,0,1,1,0,1,1,0,1,0,1,2,1,0,2,1,1
2249,1,1,0,0,1,0,1,0,1,1,1,2,2,3,2,1
3688,1,1,1,1,1,0,1,0,0,1,0,1,2,3,3,0
5009,1,1,0,1,1,0,0,0,1,1,0,1,2,0,2,0
2023,1,0,0,1,1,0,0,1,0,1,2,1,2,0,0,0
4716,0,1,1,1,1,1,1,1,0,1,2,0,0,0,1,0
1492,1,0,0,1,1,1,1,1,0,1,2,3,2,1,3,1
3802,0,0,0,1,1,0,1,0,0,1,2,1,0,2,1,0
226,1,0,0,0,0,1,0,1,0,1,3,2,2,3,2,0
3481,1,0,0,1,1,1,1,1,0,1,0,1,2,0,3,1
1929,1,1,1,1,1,1,1,1,0,1,0,3,2,0,1,1
4630,1,0,0,0,1,0,0,0,0,1,2,1,0,2,2,1
4599,0,0,0,1,1,0,0,1,0,1,0,0,0,2,3,1
1404,0,0,1,0,1,1,0,1,0,1,3,1,2,2,2,1
2179,0,0,0,0,1,0,0,1,0,0,2,2,0,3,0,1
697,0,0,0,1,1,1,0,0,0,1,2,1,2,2,0,0
1124,0,0,0,1,1,1,1,0,0,1,2,0,0,1,3,0
2945,0,0,0,0,1,1,0,1,0,1,0,1,0,2,0,1
3076,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,0
1778,0,0,0,0,1,0,1,0,0,1,1,2,2,3,0,1
3010,0,0,0,1,0,1,1,1,0,1,2,0,2,0,0,0
1037,0,1,1,1,1,0,0,0,0,1,2,1,0,0,1,1
4278,0,0,0,1,1,0,1,0,0,1,2,3,1,0,3,1
2256,1,0,0,1,1,0,0,0,1,1,0,3,0,0,1,0
313,1,0,0,1,1,0,1,1,0,1,0,2,0,2,1,0
2281,1,0,0,1,1,0,1,0,1,1,0,3,2,3,0,1
1416,0,0,0,1,1,1,1,1,0,1,3,1,0,0,3,0
1036,1,0,0,1,1,1,1,0,0,1,3,2,0,2,3,1
2159,0,1,0,0,0,0,0,0,0,1,3,1,2,3,2,0
4266,0,0,0,1,1,1,0,1,0,1,0,3,1,2,3,1
1754,1,0,1,1,1,0,0,1,0,1,2,1,0,2,0,0
4564,0,0,0,1,1,1,1,1,0,1,0,1,0,1,3,0
3496,0,0,0,1,1,1,1,1,0,1,2,0,2,2,0,0
4707,0,0,0,0,1,0,1,0,0,1,2,0,1,0,1,0
2520,1,0,0,1,1,0,1,1,0,1,0,3,2,2,0,1
3382,1,0,0,0,1,0,1,0,0,1,0,2,0,3,1,0
4212,1,0,0,0,1,0,1,0,0,1,0,2,0,0,0,1
3615,0,0,0,1,1,0,0,1,0,1,2,0,0,2,0,1
1506,1,0,0,1,1,0,1,0,0,1,2,2,2,3,2,0
1923,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1
448,1,1,0,1,0,0,1,0,1,1,2,1,0,0,1,1
5034,1,0,0,0,1,0,0,0,0,1,1,2,2,3,3,1
2658,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0
5088,1,0,0,0,1,0,0,0,0,1,2,2,0,1,3,0
2741,1,0,0,0,1,0,0,0,0,1,0,1,0,2,1,0
361,1,0,0,1,1,0,1,0,1,1,0,2,0,3,1,0
2183,0,0,0,1,0,0,1,0,0,1,0,1,2,3,1,1
1134,0,0,1,0,0,0,1,0,0,1,2,3,0,1,3,0
4091,0,0,0,1,1,1,0,1,0,1,1,1,1,0,3,0
2155,1,0,0,1,1,1,1,0,0,0,2,3,2,1,0,0
1830,0,0,0,0,1,0,0,1,0,1,2,0,0,2,0,1
1053,1,1,1,0,1,0,0,1,0,0,0,0,0,2,1,1
2460,1,0,0,1,1,1,0,0,0,1,2,1,0,2,2,0
22,0,0,0,1,0,1,1,1,0,1,0,1,1,3,3,1
2066,1,0,0,1,0,0,1,0,0,1,0,1,2,3,0,0
1653,1,0,0,0,1,1,0,1,0,1,2,1,0,2,2,0
4017,0,1,1,0,1,1,1,1,0,1,1,0,2,3,3,1
3400,0,1,0,0,1,0,0,1,0,1,3,1,2,2,2,1
4448,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1
4169,0,0,0,1,1,1,1,0,0,1,0,3,0,0,3,1
2468,0,1,1,0,1,1,1,0,0,1,0,1,0,1,3,1
2325,0,1,1,0,1,1,0,1,0,1,2,1,0,2,1,1
460,0,0,1,0,1,1,1,1,0,1,0,2,1,0,3,1
1067,1,0,0,1,1,1,1,0,0,1,2,3,2,1,1,0
87,0,0,0,0,1,0,0,1,0,1,2,3,0,1,2,0
1430,1,1,1,1,1,0,0,0,1,1,2,2,2,2,0,1
4661,1,1,1,1,1,1,0,0,0,1,2,1,2,2,1,1
282,1,0,0,1,1,1,1,1,0,1,0,2,0,0,3,1
2483,0,1,1,1,1,0,1,1,0,1,2,3,0,1,3,1
462,0,0,0,0,1,0,1,0,0,1,0,1,2,3,0,0
212,1,0,0,1,1,0,0,0,0,1,2,0,0,2,0,0
2683,1,1,0,1,0,0,1,0,0,1,2,2,2,3,1,1
2581,1,0,0,0,0,1,0,0,1,1,2,1,2,3,0,0
1368,1,1,1,1,0,1,1,1,0,1,0,1,0,2,1,1
234,0,0,0,0,1,0,1,1,0,1,0,2,2,0,0,1
2917,1,0,0,1,0,1,1,0,1,1,0,1,2,3,0,1
597,1,0,1,1,1,0,1,1,0,1,0,1,0,2,0,0
4528,1,0,1,0,1,0,1,0,0,1,0,2,1,1,3,0
2250,1,0,0,0,1,0,0,0,0,1,0,2,2,3,0,1
4167,1,0,0,0,1,0,0,0,0,1,2,2,0,0,0,1
2283,1,0,1,1,1,1,1,0,0,1,2,3,0,0,1,0
662,1,0,0,1,1,1,1,1,0,1,2,0,2,0,0,0
5082,0,1,1,1,1,0,1,0,1,1,0,1,0,1,1,0
2285,1,0,0,0,1,0,0,0,1,1,3,1,2,0,2,0
4832,1,0,0,1,0,1,0,0,1,1,2,3,0,1,1,0
4211,0,0,0,1,1,0,0,0,0,1,2,1,0,2,1,1
3142,1,0,0,1,1,0,1,1,0,1,2,1,2,2,2,1
3616,0,0,0,0,1,1,0,0,0,1,3,3,2,0,2,0
779,0,0,0,1,1,0,0,1,0,1,0,0,0,2,0,1
4219,1,1,1,1,0,0,1,0,0,1,0,1,0,3,3,1
3559,0,0,0,1,1,1,1,0,1,1,0,2,1,3,3,1
3610,0,0,0,1,1,1,0,1,0,1,2,0,0,2,0,1
3464,0,0,0,1,0,1,0,1,0,1,2,3,0,1,0,0
3371,1,1,0,0,1,1,1,1,0,1,0,1,0,0,3,1
4953,0,0,0,0,1,0,1,0,0,1,3,2,2,3,2,0
685,1,0,0,1,0,0,0,0,0,1,2,2,2,1,0,1
4742,1,1,1,0,0,1,1,1,0,1,0,2,0,0,1,1
2894,1,0,0,0,0,0,1,0,0,1,0,1,2,1,1,0
5029,1,0,0,1,1,0,1,0,0,1,3,1,2,0,2,0
2171,0,1,0,1,0,0,1,0,0,1,0,2,2,3,2,0
2867,1,0,0,1,0,0,0,1,0,1,2,1,2,2,1,1
1850,1,1,1,1,0,1,1,1,0,1,0,2,2,0,3,1
487,1,1,0,1,1,0,1,0,0,1,2,3,0,0,3,0
1688,1,1,0,0,1,1,1,1,0,1,0,3,2,2,0,1
2230,1,1,1,1,1,0,1,0,0,1,2,1,2,3,3,0
3441,0,0,0,1,0,0,1,0,0,1,0,3,0,1,1,0
2320,1,0,0,1,1,1,0,1,0,1,0,2,2,2,1,1
782,0,0,0,0,1,1,1,1,0,1,0,1,0,0,3,0
521,1,0,1,1,1,0,0,0,0,1,2,0,2,0,0,1
522,1,0,0,1,1,1,0,0,0,1,2,1,0,0,1,0
2988,1,0,0,1,1,1,0,0,1,0,2,2,2,3,1,0
4128,1,1,0,1,1,0,1,1,0,1,1,2,2,1,2,0
2398,1,0,0,1,0,0,0,0,0,1,3,1,2,2,2,1
2207,1,1,1,0,1,1,0,0,0,1,2,1,2,2,0,1
3664,0,1,0,1,1,0,0,0,0,1,2,3,2,2,2,0
4967,0,0,0,1,1,0,0,1,0,1,0,3,2,1,1,1
3939,1,1,0,1,1,1,0,0,0,1,2,3,0,1,1,0
2972,1,1,0,0,0,0,1,0,0,1,0,2,2,3,0,0
1511,1,0,0,1,1,1,0,1,0,1,2,1,0,0,3,1
1882,1,0,0,0,1,0,0,0,0,1,2,1,0,2,0,1
651,1,0,0,1,0,1,0,1,0,1,0,0,1,1,3,0
4220,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
3258,0,0,0,1,1,0,0,1,0,1,2,2,2,1,0,0
369,0,0,0,1,0,0,1,0,0,1,0,1,2,1,0,1
2778,1,0,0,0,0,1,1,0,0,1,3,0,2,0,2,0
118,0,0,0,1,1,0,0,0,0,1,0,2,2,3,3,0
4694,0,0,0,1,1,1,0,1,0,1,0,2,2,0,1,0
3200,0,1,1,0,1,0,0,0,1,1,2,2,2,2,1,0
2216,0,1,1,1,1,0,0,0,0,1,2,1,2,0,2,1
3732,1,0,0,0,1,1,0,0,0,1,1,3,2,1,1,0
1613,0,1,0,1,1,1,0,0,1,1,2,1,2,2,2,0
3070,0,0,1,1,1,0,0,1,0,1,2,3,2,0,3,1
962,1,0,1,1,1,1,1,1,0,1,3,1,0,0,3,0
2510,1,0,0,1,1,0,1,0,0,0,2,2,2,1,2,0
3738,1,1,1,0,1,0,0,1,0,1,0,1,0,2,1,1
3832,1,0,0,1,0,0,0,0,0,1,2,2,2,1,0,1
3630,0,0,0,0,1,0,1,1,0,1,0,0,2,0,0,1
3197,1,1,1,1,1,0,1,0,0,1,0,1,2,3,3,0
2415,0,1,1,1,1,0,0,0,0,1,0,1,1,2,3,1
4768,0,0,0,1,0,0,1,1,0,1,2,2,2,3,3,1
4801,0,0,0,1,0,0,1,0,0,1,2,2,0,1,3,0
2185,0,0,1,1,1,1,0,1,0,1,0,1,2,2,2,1
3355,1,0,1,0,1,1,1,1,0,1,0,1,2,0,3,0
2567,0,0,1,0,1,0,0,0,0,1,2,2,1,2,3,0
2037,1,1,0,0,1,0,0,1,0,1,1,2,2,3,2,1
4368,1,0,0,1,0,0,0,0,0,1,2,1,0,1,1,1
772,1,0,1,1,1,0,0,0,0,1,2,3,2,0,1,0
1284,1,1,1,1,1,0,0,0,0,1,2,2,0,2,3,1
4714,1,0,1,1,1,0,0,1,0,1,0,0,0,0,3,0
4853,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,1
2587,0,0,0,1,1,0,0,0,0,1,0,1,0,1,3,0
4686,0,1,1,0,1,0,0,0,0,1,0,2,1,3,3,1
1414,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
1234,1,1,0,1,1,0,1,0,0,1,2,2,2,0,0,0
3071,0,1,0,0,1,0,0,1,0,1,2,3,0,2,0,1
435,0,0,0,0,1,1,1,0,1,1,2,2,0,1,3,0
1674,0,0,0,1,1,1,1,1,0,1,1,2,2,3,1,1
365,1,0,0,1,1,1,0,1,0,1,2,1,0,0,1,1
2788,0,0,0,1,1,1,0,1,0,1,0,1,2,2,2,1
231,0,1,0,1,1,1,1,1,0,1,2,1,2,3,1,0
4374,1,0,0,0,0,0,1,0,0,1,0,2,0,1,0,0
147,1,0,0,0,0,0,0,0,1,1,3,1,2,0,2,1
4506,1,0,0,1,1,0,0,0,0,1,2,3,2,3,2,1
407,1,0,0,1,0,0,0,1,0,1,2,1,2,0,2,0
2090,1,0,0,1,1,1,0,1,0,1,2,2,1,0,3,0
86,1,0,0,1,1,0,1,0,0,1,2,1,2,1,3,1
844,1,0,0,1,0,0,0,0,0,1,2,1,0,1,1,1
1031,0,1,0,1,0,0,0,0,0,1,0,2,2,0,2,1
2770,0,1,0,1,1,0,0,0,0,1,2,1,0,0,2,1
4438,1,0,0,1,0,0,0,0,0,1,2,2,0,2,1,0
4028,1,1,1,1,1,1,1,0,0,1,2,1,2,0,1,0
3406,1,0,0,1,1,0,1,0,1,1,2,1,2,2,2,1
2628,1,1,1,1,1,0,0,0,0,1,0,2,0,0,0,0
4409,0,0,0,1,1,0,0,0,1,1,1,1,2,2,2,1
855,0,0,0,1,1,1,0,1,0,1,0,0,2,0,0,1
78,1,1,0,1,1,1,1,1,0,1,1,3,0,3,3,1
2247,1,0,0,1,1,1,1,1,0,1,2,1,0,0,1,0
4680,1,1,0,1,0,0,1,0,0,1,0,2,2,3,0,0
3856,1,0,0,1,0,0,1,0,0,1,2,3,2,3,0,0
4678,1,0,0,1,1,0,1,0,0,1,2,3,0,3,0,0
3066,0,0,0,1,1,0,0,1,0,1,0,1,0,1,2,1
2279,0,0,1,1,1,0,0,0,0,1,2,0,0,0,1,1
2991,0,0,0,1,1,1,0,1,0,1,0,1,2,2,1,1
4262,1,1,1,1,0,0,1,0,0,1,0,1,0,0,1,0
4081,1,0,0,0,1,0,0,1,0,1,2,2,0,2,0,0
3727,1,0,0,1,1,0,0,0,0,0,0,1,1,2,1,0
2176,1,1,0,1,1,0,1,1,0,1,2,1,2,0,0,0
424,0,0,1,0,1,1,0,1,0,1,3,1,2,2,2,1
392,0,0,0,1,1,1,1,1,0,1,0,1,0,0,3,1
4842,1,1,1,0,1,0,0,1,0,0,0,0,0,2,1,1
3599,0,0,0,1,1,0,1,1,0,1,2,3,2,1,0,1
104,0,0,0,1,1,0,0,0,0,1,3,2,2,1,2,1
2672,0,1,1,1,1,0,0,0,0,1,0,1,2,3,1,1
3133,0,0,0,1,1,0,0,0,0,1,2,0,2,0,2,1
2707,1,0,0,1,1,0,0,0,1,1,0,3,2,2,2,1
4133,1,0,0,1,1,1,0,1,0,1,0,2,1,3,3,0
4725,0,0,0,1,0,1,1,1,0,1,2,3,2,1,2,0
1948,0,0,0,1,1,0,0,0,0,1,2,1,2,2,1,0
1459,1,1,1,1,1,0,0,0,0,1,2,2,0,2,3,1
3434,1,1,0,1,0,0,1,0,0,1,2,1,0,1,3,0
4043,0,0,0,1,0,1,1,1,0,1,0,2,0,1,1,0
2847,0,0,0,1,1,1,1,0,0,1,1,1,2,3,1,0
4906,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1
1587,1,1,0,1,1,1,1,1,0,0,2,0,0,1,3,0
3859,1,0,0,1,1,1,0,1,0,1,0,1,2,2,1,1
1731,0,0,0,1,0,1,1,1,0,1,2,3,2,1,3,1
4881,0,0,0,0,0,0,1,0,0,1,0,1,2,1,1,0
3914,1,0,0,0,1,0,0,1,0,1,0,3,2,0,3,1
3881,0,1,1,1,1,1,1,1,0,1,2,0,0,0,1,0
1791,0,1,0,1,1,1,0,0,1,1,0,3,0,0,1,0
2355,1,1,1,1,1,1,1,0,0,1,2,1,2,0,1,0
1940,0,0,0,1,1,1,1,1,0,1,0,0,2,0,1,1
702,1,0,0,1,1,0,1,1,0,1,2,1,2,2,1,0
2442,1,0,0,1,0,1,0,0,1,1,0,1,0,1,3,1
2964,1,1,1,1,0,1,0,0,0,1,0,2,0,1,3,0
496,1,0,0,1,1,1,1,1,0,1,0,2,0,2,1,1
464,1,0,0,1,1,0,1,0,0,1,0,0,1,0,3,1
3143,1,0,0,0,0,0,1,0,0,1,0,2,0,3,2,0
4440,0,0,0,1,1,0,0,0,0,1,2,0,2,2,1,1
172,1,0,0,1,0,1,0,1,0,1,0,3,0,0,3,0
